word,class
Hun,TRUE
Jap,TRUE
Jihadi,TRUE
Yardie,TRUE
abhor,TRUE
abominable,TRUE
abomination,TRUE
abusive,TRUE
affront,TRUE
agitator,TRUE
aloof,TRUE
ambush,TRUE
anarchist,TRUE
annihilate,TRUE
appalled,TRUE
arrogance,TRUE
arrogant,TRUE
arse,TRUE
ashamed,TRUE
asinine,TRUE
ass,TRUE
assassinate,TRUE
assault,TRUE
asshole,TRUE
atrocity,TRUE
attack,TRUE
avarice,TRUE
avaricious,TRUE
awful,TRUE
awfulness,TRUE
awkward,TRUE
backbiting,TRUE
backward,TRUE
bampot,TRUE
barbaric,TRUE
barbarous,TRUE
bastard,TRUE
beaner,TRUE
beast,TRUE
beastly,TRUE
belittle,TRUE
bestial,TRUE
betrayer,TRUE
bint,TRUE
bitch,TRUE
bitter,TRUE
blab,TRUE
blabber,TRUE
blaspheme,TRUE
blasphemy,TRUE
blather,TRUE
blind,TRUE
bloodthirsty,TRUE
bogan,TRUE
bogus,TRUE
bollocks,TRUE
bombardment,TRUE
boner,TRUE
botch,TRUE
braggart,TRUE
bravado,TRUE
brutality,TRUE
brute,TRUE
buckra,TRUE
bugger,TRUE
bullshit,TRUE
bully,TRUE
bungler,TRUE
burdensome,TRUE
burrhead,TRUE
butchery,TRUE
cancer,TRUE
cancerous,TRUE
cannibalize,TRUE
capricious,TRUE
capriciousness,TRUE
careless,TRUE
carelessness,TRUE
carnage,TRUE
celesbian,TRUE
charva,TRUE
charver,TRUE
chav,TRUE
cheat,TRUE
cheat,TRUE
chonky,TRUE
chug,TRUE
cliche,TRUE
clumsy,TRUE
cock,TRUE
cocky,TRUE
cold,TRUE
complacent,TRUE
conceited,TRUE
contempt,TRUE
coolie,TRUE
coon,TRUE
cooter,TRUE
corrosive,TRUE
cracker,TRUE
crap,TRUE
crass,TRUE
craziness,TRUE
cringe,TRUE
cripple,TRUE
cripple,TRUE
crude,TRUE
cruel,TRUE
cuck,TRUE
cunt,TRUE
curse,TRUE
cursed,TRUE
dago,TRUE
damn,TRUE
darkey,TRUE
darkie,TRUE
dawdle,TRUE
debauchery,TRUE
deceitful,TRUE
delinquent,TRUE
deluded,TRUE
demean,TRUE
demonize,TRUE
denigrate,TRUE
despotic,TRUE
despotism,TRUE
destroy,TRUE
destructive,TRUE
detest,TRUE
detestable,TRUE
devil,TRUE
dhimmi,TRUE
diabolic,TRUE
diatribe,TRUE
dick,TRUE
dictatorial,TRUE
dinge,TRUE
dink,TRUE
disbeliever,TRUE
discouraging,TRUE
disdainful,TRUE
disgraceful,TRUE
disgust,TRUE
disgusted,TRUE
dishonest,TRUE
dishonesty,TRUE
dishonor,TRUE
disillusion,TRUE
disintegrate,TRUE
disloyalty,TRUE
dismal,TRUE
disrespect,TRUE
disrespectful,TRUE
distasteful,TRUE
div,TRUE
douchbag,TRUE
dragon,TRUE
drain,TRUE
dubious,TRUE
dud,TRUE
dullard,TRUE
dumb,TRUE
dumbass,TRUE
dummy,TRUE
dunce,TRUE
dupe,TRUE
dyke,TRUE
earsplitting,TRUE
effrontery,TRUE
egomania,TRUE
egotism,TRUE
egotistical,TRUE
embarrassing,TRUE
embarrassment,TRUE
enslave,TRUE
envious,TRUE
envy,TRUE
envy,TRUE
evil,TRUE
evildoer,TRUE
eviscerate,TRUE
exploitation,TRUE
exterminate,TRUE
eyetie,TRUE
fabricate,TRUE
fag,TRUE
faggot,TRUE
fail,TRUE
fanny,TRUE
fart,TRUE
fart,TRUE
fatalistic,TRUE
feeble,TRUE
felon,TRUE
felonious,TRUE
fetid,TRUE
fibber,TRUE
fiend,TRUE
filthy,TRUE
finocchio,TRUE
flaky,TRUE
flamer,TRUE
flid,TRUE
foolishness,TRUE
foul,TRUE
foulness,TRUE
fraudulent,TRUE
freakish,TRUE
frigid,TRUE
frocio,TRUE
fuck,TRUE
fuck,TRUE
gauche,TRUE
geezer,TRUE
genocide,TRUE
